Value,Source,DMA
"Abilene-Sweetwater, TX",Datorama: Metro,Abilene-Sweetwater
"Albany, GA",Datorama: Metro,"Albany, GA"
"Albany-Schenectady-Troy, NY",Datorama: Metro,Albany-Schenectady-Troy
"Albuquerque-Santa Fe, NM",Datorama: Metro,Albuquerque-Santa Fe
"Alexandria, LA",Datorama: Metro,"Alexandria, LA"
"Alpena, MI",Datorama: Metro,Alpena
"Amarillo, TX",Datorama: Metro,Amarillo
"Anchorage, AK",Datorama: Metro,Anchorage
"Atlanta, GA",Datorama: Metro,Atlanta
"Augusta, GA",Datorama: Metro,Augusta-Aiken
"Austin, TX",Datorama: Metro,Austin
"Bakersfield, CA",Datorama: Metro,Bakersfield
"Baltimore, MD",Datorama: Metro,Baltimore
"Bangor, ME",Datorama: Metro,Bangor
"Baton Rouge, LA",Datorama: Metro,Baton Rouge
"Beaumont-Port Arthur, TX",Datorama: Metro,Beaumont-Port Arthur
"Bend, OR",Datorama: Metro,"Bend, OR"
"Billings, MT",Datorama: Metro,Billings
"Biloxi-Gulfport, MS",Datorama: Metro,Biloxi-Gulfport
"Binghamton, NY",Datorama: Metro,Binghamton
"Birmingham, AL",Datorama: Metro,Birmingham (Ann And Tusc)
"Bluefield-Beckley-Oak Hill, WV",Datorama: Metro,Bluefield-Beckley-Oak Hill
"Boise, ID",Datorama: Metro,Boise
"Boston, MA-Manchester, NH",Datorama: Metro,Boston (Manchester)
"Bowling Green, KY",Datorama: Metro,Bowling Green
"Buffalo, NY",Datorama: Metro,Buffalo
"Burlington, VT-Plattsburgh, NY",Datorama: Metro,Burlington-Plattsburgh
"Butte-Bozeman, MT",Datorama: Metro,Butte-Bozeman
"Casper-Riverton, WY",Datorama: Metro,Casper-Riverton
"Cedar Rapids-Waterloo-Iowa City, IA",Datorama: Metro,Cedar Rapids-Wtrlo-Iwc&Dub
"Champaign & Springfield-Decatur,IL",Datorama: Metro,Champaign&Sprngfld-Decatur
"Charleston, SC",Datorama: Metro,"Charleston, SC"
"Charleston-Huntington, WV",Datorama: Metro,Charleston-Huntington
"Charlotte, NC",Datorama: Metro,Charlotte
"Charlottesville, VA",Datorama: Metro,Charlottesville
"Chattanooga, TN",Datorama: Metro,Chattanooga
"Cheyenne, WY-Scottsbluff, NE",Datorama: Metro,Cheyenne-Scottsbluf
"Chicago, IL",Datorama: Metro,Chicago
"Chico-Redding, CA",Datorama: Metro,Chico-Redding
"Cincinnati, OH",Datorama: Metro,Cincinnati
"Clarksburg-Weston, WV",Datorama: Metro,Clarksburg-Weston
"Cleveland-Akron (Canton), OH",Datorama: Metro,Cleveland-Akron (Canton)
"Colorado Springs-Pueblo, CO",Datorama: Metro,Colorado Springs-Pueblo
"Columbia, SC",Datorama: Metro,"Columbia, SC"
"Columbia-Jefferson City, MO",Datorama: Metro,Columbia-Jefferson City
"Columbus, GA",Datorama: Metro,"Columbus, GA (Opelika, Al)"
"Columbus, OH",Datorama: Metro,"Columbus, OH"
"Columbus-Tupelo-West Point, MS",Datorama: Metro,Columbus-Tupelo-W Pnt-Hstn
"Corpus Christi, TX",Datorama: Metro,Corpus Christi
"Dallas-Ft. Worth, TX",Datorama: Metro,Dallas-Ft. Worth
"Davenport,IA-Rock Island-Moline,IL",Datorama: Metro,Davenport-R.Island-Moline
